"var.name" "var.type"
"1" "In.what.ways.do.you.use.devices.for.work." "character"
"2" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Word.processing..Very.often." "integer"
"3" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Word.processing..Often." "integer"
"4" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Word.processing..Somewhat.often." "integer"
"5" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Word.processing..Not.very.often." "integer"
"6" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Word.processing..Never." "integer"
"7" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Word.processing..I.don.t.know." "integer"
"8" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Word.processing...." "integer"
"9" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....To.manage.budgets..Very.often." "integer"
"10" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....To.manage.budgets..Often." "integer"
"11" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....To.manage.budgets..Somewhat.often." "integer"
"12" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....To.manage.budgets..Not.very.often." "integer"
"13" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....To.manage.budgets..Never." "integer"
"14" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....To.manage.budgets..I.don.t.know." "integer"
"15" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....To.manage.budgets...." "integer"
"16" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Business.communication..Very.often." "integer"
"17" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Business.communication..Often." "integer"
"18" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Business.communication..Somewhat.often." "integer"
"19" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Business.communication..Not.very.often." "integer"
"20" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Business.communication..Never." "integer"
"21" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Business.communication..I.don.t.know." "integer"
"22" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Business.communication...." "integer"
"23" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Task.management..Very.often." "integer"
"24" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Task.management..Often." "integer"
"25" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Task.management..Somewhat.often." "integer"
"26" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Task.management..Not.very.often." "integer"
"27" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Task.management..Never." "integer"
"28" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Task.management..I.don.t.know." "integer"
"29" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Task.management...." "integer"
"30" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Project.planning..Very.often." "integer"
"31" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Project.planning..Often." "integer"
"32" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Project.planning..Somewhat.often." "integer"
"33" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Project.planning..Not.very.often." "integer"
"34" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Project.planning..Never." "integer"
"35" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Project.planning..I.don.t.know." "integer"
"36" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Project.planning...." "integer"
"37" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Scheduling..Very.often." "integer"
"38" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Scheduling..Often." "integer"
"39" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Scheduling..Somewhat.often." "integer"
"40" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Scheduling..Not.very.often." "integer"
"41" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Scheduling..Never." "integer"
"42" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Scheduling..I.don.t.know." "integer"
"43" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Scheduling...." "integer"
"44" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Keeping.track.of.how.many.hours.I.work..Very.often." "integer"
"45" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Keeping.track.of.how.many.hours.I.work..Often." "integer"
"46" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Keeping.track.of.how.many.hours.I.work..Somewhat.often." "integer"
"47" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Keeping.track.of.how.many.hours.I.work..Not.very.often." "integer"
"48" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Keeping.track.of.how.many.hours.I.work..Never." "integer"
"49" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Keeping.track.of.how.many.hours.I.work..I.don.t.know." "integer"
"50" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Keeping.track.of.how.many.hours.I.work...." "integer"
"51" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Communicating.with.coworkers..Very.often." "integer"
"52" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Communicating.with.coworkers..Often." "integer"
"53" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Communicating.with.coworkers..Somewhat.often." "integer"
"54" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Communicating.with.coworkers..Not.very.often." "integer"
"55" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Communicating.with.coworkers..Never." "integer"
"56" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Communicating.with.coworkers..I.don.t.know." "integer"
"57" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Communicating.with.coworkers...." "integer"
"58" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....To.keep.track.of.my.income..Very.often." "integer"
"59" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....To.keep.track.of.my.income..Often." "integer"
"60" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....To.keep.track.of.my.income..Somewhat.often." "integer"
"61" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....To.keep.track.of.my.income..Not.very.often." "integer"
"62" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....To.keep.track.of.my.income..Never." "integer"
"63" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....To.keep.track.of.my.income..I.don.t.know." "integer"
"64" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....To.keep.track.of.my.income...." "integer"
"65" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....SMS..text.messaging..for.work..Very.often." "integer"
"66" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....SMS..text.messaging..for.work..Often." "integer"
"67" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....SMS..text.messaging..for.work..Somewhat.often." "integer"
"68" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....SMS..text.messaging..for.work..Not.very.often." "integer"
"69" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....SMS..text.messaging..for.work..Never." "integer"
"70" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....SMS..text.messaging..for.work..I.don.t.know." "integer"
"71" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....SMS..text.messaging..for.work...." "integer"
"72" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Phone.calls.for.work..Very.often." "integer"
"73" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Phone.calls.for.work..Often." "integer"
"74" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Phone.calls.for.work..Somewhat.often." "integer"
"75" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Phone.calls.for.work..Not.very.often." "integer"
"76" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Phone.calls.for.work..Never." "integer"
"77" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Phone.calls.for.work..I.don.t.know." "logical"
"78" "How.often.do.you.use.any.electronic.devices.for.the.following.work.related.activities....Phone.calls.for.work...." "integer"
"79" "How.often.do.you.use.the.Internet.for.the.following.activities....To.communicate.with.my.coworkers..Very.often." "integer"
"80" "How.often.do.you.use.the.Internet.for.the.following.activities....To.communicate.with.my.coworkers..Often." "integer"
"81" "How.often.do.you.use.the.Internet.for.the.following.activities....To.communicate.with.my.coworkers..Somewhat.often." "integer"
"82" "How.often.do.you.use.the.Internet.for.the.following.activities....To.communicate.with.my.coworkers..Not.very.often." "integer"
"83" "How.often.do.you.use.the.Internet.for.the.following.activities....To.communicate.with.my.coworkers..Never." "integer"
"84" "How.often.do.you.use.the.Internet.for.the.following.activities....To.communicate.with.my.coworkers..I.don.t.know." "integer"
"85" "How.often.do.you.use.the.Internet.for.the.following.activities....To.communicate.with.my.coworkers...." "integer"
"86" "How.often.do.you.use.the.Internet.for.the.following.activities....Research.related.to.my.job..Very.often." "integer"
"87" "How.often.do.you.use.the.Internet.for.the.following.activities....Research.related.to.my.job..Often." "integer"
"88" "How.often.do.you.use.the.Internet.for.the.following.activities....Research.related.to.my.job..Somewhat.often." "integer"
"89" "How.often.do.you.use.the.Internet.for.the.following.activities....Research.related.to.my.job..Not.very.often." "integer"
"90" "How.often.do.you.use.the.Internet.for.the.following.activities....Research.related.to.my.job..Never." "integer"
"91" "How.often.do.you.use.the.Internet.for.the.following.activities....Research.related.to.my.job..I.don.t.know." "integer"
"92" "How.often.do.you.use.the.Internet.for.the.following.activities....Research.related.to.my.job...." "integer"
"93" "How.often.do.you.use.the.Internet.for.the.following.activities....Research.to.improve.my.job.performance..Very.often." "integer"
"94" "How.often.do.you.use.the.Internet.for.the.following.activities....Research.to.improve.my.job.performance..Often." "integer"
"95" "How.often.do.you.use.the.Internet.for.the.following.activities....Research.to.improve.my.job.performance..Somewhat.often." "integer"
"96" "How.often.do.you.use.the.Internet.for.the.following.activities....Research.to.improve.my.job.performance..Not.very.often." "integer"
"97" "How.often.do.you.use.the.Internet.for.the.following.activities....Research.to.improve.my.job.performance..Never." "integer"
"98" "How.often.do.you.use.the.Internet.for.the.following.activities....Research.to.improve.my.job.performance..I.don.t.know." "integer"
"99" "How.often.do.you.use.the.Internet.for.the.following.activities....Research.to.improve.my.job.performance...." "integer"
"100" "How.often.do.you.use.the.Internet.for.the.following.activities....Connecting.with.others.in.my.field..Very.often." "integer"
"101" "How.often.do.you.use.the.Internet.for.the.following.activities....Connecting.with.others.in.my.field..Often." "integer"
"102" "How.often.do.you.use.the.Internet.for.the.following.activities....Connecting.with.others.in.my.field..Somewhat.often." "integer"
"103" "How.often.do.you.use.the.Internet.for.the.following.activities....Connecting.with.others.in.my.field..Not.very.often." "integer"
"104" "How.often.do.you.use.the.Internet.for.the.following.activities....Connecting.with.others.in.my.field..Never." "integer"
"105" "How.often.do.you.use.the.Internet.for.the.following.activities....Connecting.with.others.in.my.field..I.don.t.know." "integer"
"106" "How.often.do.you.use.the.Internet.for.the.following.activities....Connecting.with.others.in.my.field...." "integer"
"107" "How.often.do.you.use.the.Internet.for.the.following.activities....Connecting.with.mentors..Very.often." "integer"
